 	BX	BY	Width	Height
1	51	108	61	61
2	204	14	53	45
3	305	118	58	48
4	318	223	58	41
5	324	310	53	39
6	384	258	65	65
7	132	192	54	48
8	109	67	73	49
9	0	6	66	80
10	0	156	70	45
11	0	228	67	65
12	77	258	57	36
13	154	252	60	49
14	10	325	36	33
15	73	426	36	36
16	53	473	43	19
17	0	428	15	44
18	0	364	21	17
19	0	395	14	25
20	4	314	104	181
21	147	392	39	29
22	152	456	33	20
23	92	337	46	67
24	121	320	81	175
25	208	361	13	43
26	379	415	35	30
27	343	473	40	22
28	277	354	19	30
29	261	309	21	20
30	255	265	29	34
31	264	225	28	29
32	338	24	52	56
33	382	2	57	61
34	399	109	50	40
35	182	134	86	62
36	395	326	54	53
37	423	435	26	43
38	247	421	91	63
39	85	2	103	59
40	210	209	44	47
41	217	307	36	41
42	376	176	73	56
