 	BX	BY	Width	Height
1	178	7	52	43
2	356	331	72	59
3	406	430	31	29
4	281	460	42	40
5	50	515	72	36
6	64	451	80	46
7	26	385	45	46
8	12	284	40	35
9	0	203	17	41
10	65	27	37	35
11	97	72	33	34
12	44	86	28	36
13	0	0	17	33
14	74	0	42	14
15	329	0	48	30
16	431	8	42	42
17	459	47	25	33
18	295	64	20	19
19	330	87	26	23
20	178	106	64	47
21	117	121	42	36
22	50	156	64	51
23	136	181	40	45
24	93	243	94	55
25	233	198	64	54
26	168	303	49	43
27	202	341	43	42
28	245	366	60	40
29	276	503	70	37
30	172	467	93	50
31	316	277	55	39
32	457	357	27	42
33	290	531	33	20
34	114	342	52	45
35	375	85	40	37
36	362	151	38	44
37	398	217	49	50
38	423	501	61	50
39	0	151	32	42
40	0	495	32	56
41	200	416	46	42
42	230	521	49	30
43	247	296	68	54
44	318	209	37	44
45	382	287	30	31
46	451	288	33	52
47	455	227	29	58
48	424	133	37	39
49	256	127	60	54
50	239	4	83	50
51	156	59	120	42
52	198	236	41	46
53	77	396	119	36
54	368	499	66	51
55	346	422	55	65
56	443	429	41	64
57	441	181	43	39
