 	BX	BY	Width	Height
1	153	110	27	37
2	182	107	29	33
3	73	113	23	31
4	19	147	29	38
5	0	18	22	30
6	10	338	26	30
7	115	489	27	26
8	173	403	20	25
9	284	397	26	32
10	286	621	24	23
11	386	593	30	30
12	422	600	28	36
13	451	595	29	24
14	388	373	22	26
15	419	436	25	30
16	475	396	24	29
17	411	290	24	32
18	232	175	28	29
19	192	184	23	25
20	362	67	27	31
21	454	92	23	32
22	393	133	30	24
23	422	168	28	35
24	490	172	22	30
25	0	246	14	28
26	237	398	32	24
27	193	468	39	33
28	74	492	34	36
29	248	593	32	29
30	495	504	21	40
31	437	324	38	43
32	372	478	41	21
33	258	132	40	30
