 	BX	BY	Width	Height
1	80	0	88	91
2	321	5	177	125
3	669	0	91	52
4	760	48	80	132
5	619	105	82	102
6	462	223	75	102
7	30	407	109	114
8	221	223	193	193
9	168	389	91	89
10	139	189	107	77
11	0	134	148	378
12	689	200	101	89
13	703	319	118	72
14	724	410	91	56
15	847	234	150	173
16	969	91	116	157
17	994	0	119	59
18	1115	71	107	109
19	1056	218	102	176
20	1347	84	66	68
21	1249	166	123	180
22	1450	52	72	73
23	1352	0	102	34
24	1761	0	91	61
25	1914	23	104	104
26	1766	91	111	141
27	1613	125	87	73
28	1618	218	100	80
29	1481	200	82	98
30	1450	335	136	100
31	1732	316	68	73
32	1896	248	109	96
33	1866	394	64	50
34	1768	414	77	82
35	1586	441	118	194
36	1739	526	75	86
37	1770	626	144	70
38	1886	480	80	78
39	1918	389	128	118
40	1261	378	70	45
41	1274	453	144	180
42	1377	644	91	96
43	1195	635	77	80
44	1156	717	82	77
45	1058	435	87	109
46	894	430	71	82
47	958	528	118	75
48	981	633	98	82
49	655	480	189	219
50	649	799	482	571
51	505	601	123	116
52	371	742	95	114
53	182	569	205	86
54	112	678	100	84
55	203	753	81	73
56	273	851	89	87
57	73	794	82	68
58	2	755	71	98
59	0	592	52	138
60	146	956	84	98
61	0	953	127	258
62	544	726	68	95
63	724	685	52	89
64	237	1022	261	334
65	75	1224	82	71
66	0	1227	39	81
67	66	1308	100	89
68	118	1397	107	75
69	11	1475	73	68
70	266	1436	144	118
71	441	1413	94	77
72	571	1456	68	73
73	678	1472	62	64
74	749	1511	93	86
75	380	1545	77	91
76	98	1527	70	93
77	32	1529	66	98
78	148	1575	68	88
79	243	1627	96	91
80	426	1718	59	55
81	266	1723	191	141
82	57	1795	98	160
83	0	1902	48	123
84	284	1843	101	84
85	148	1836	77	96
86	180	1654	77	85
87	307	1959	98	71
88	394	2002	111	46
89	580	1918	103	71
90	608	1809	72	57
91	701	1800	107	77
92	721	1709	75	73
93	664	1616	82	97
94	603	1547	73	85
95	517	1686	88	75
96	1013	1609	84	84
97	999	1773	130	100
98	1124	1855	316	193
99	876	2009	91	39
100	1215	1654	237	203
101	1477	1586	82	96
102	1500	1704	68	69
103	1566	1773	88	98
104	1424	1987	80	61
105	1522	1993	130	55
106	1682	1980	125	68
107	1750	1789	143	168
108	1896	1905	72	75
109	1971	1871	72	68
110	1955	1750	86	93
111	1923	1611	89	98
112	1868	1500	73	82
113	1754	1613	110	153
114	1638	1634	89	100
115	1195	1263	207	248
116	1167	872	85	91
117	1411	744	264	257
118	1274	821	367	301
119	1349	1126	119	105
120	1563	1179	80	61
121	1604	1224	98	84
122	1718	1176	68	87
123	1843	1133	87	75
124	1927	1006	89	91
125	1959	887	89	119
126	1845	806	110	129
127	1943	1120	105	200
128	1720	1338	130	107
