 	BX	BY	Width	Height
1	12	32	69	83
2	111	100	86	77
3	199	0	62	60
4	279	28	89	147
5	359	20	90	84
6	612	41	91	70
7	801	0	70	49
8	943	0	74	49
9	692	196	179	189
10	945	383	59	74
11	852	544	164	177
12	540	159	53	53
13	575	239	69	69
14	611	304	52	60
15	344	280	95	68
16	363	141	65	79
17	149	297	107	114
18	251	407	84	88
19	59	559	141	146
20	245	519	166	225
21	429	368	154	216
22	625	513	64	83
23	628	709	63	50
24	721	737	76	63
25	608	629	60	71
26	955	823	54	74
27	928	971	69	53
28	665	959	150	54
29	540	865	101	87
30	467	803	88	69
31	433	711	80	56
32	248	921	145	75
33	0	841	104	130
34	0	204	36	76
